         3929067 function calls (3923283 primitive calls) in 26.767 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:495(AddressList)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 _policybase.py:18(_PolicyBase)
        1    0.000    0.000    0.000    0.000 _policybase.py:271(Compat32)
      672    0.001    0.000    0.003    0.000 _policybase.py:281(_sanitize_header)
     1578    0.005    0.000    0.009    0.000 _policybase.py:293(header_source_parse)
      672    0.001    0.000    0.004    0.000 _policybase.py:311(header_fetch_parse)
        1    0.000    0.000    0.006    0.006 _policybase.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:14(TeletexCodec)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:23(TeletexIncrementalEncoder)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:29(TeletexIncrementalDecoder)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:35(TeletexStreamWriter)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:40(TeletexStreamReader)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:64(register)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _types.py:2(<module>)
        1    0.000    0.000    0.001    0.001 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:18(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
       74    0.000    0.000    0.001    0.000 abc.py:125(__new__)
       84    0.000    0.000    0.000    0.000 abc.py:130(register)
        4    0.000    0.000    0.000    0.000 abc.py:137(__instancecheck__)
    98/85    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
      184    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 adapters.py:53(BaseAdapter)
        1    0.000    0.000    0.000    0.000 adapters.py:82(HTTPAdapter)
        1    0.000    0.000    0.001    0.001 adapters.py:9(<module>)
        1    0.000    0.000    0.079    0.079 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.000    0.000 algos.py:107(HmacAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:1084(Pbes2Params)
        1    0.000    0.000    0.000    0.000 algos.py:1091(Pbmac1Params)
        1    0.000    0.000    0.000    0.000 algos.py:1098(Pkcs5MacId)
        1    0.000    0.000    0.000    0.000 algos.py:1104(Pkcs5MacAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:1119(AnyAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:1129(AnyAlgorithmIdentifier)
        1    0.000    0.000    0.000    0.000 algos.py:120(HmacAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:127(DigestAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:141(DigestAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:149(DigestInfo)
        1    0.000    0.000    0.000    0.000 algos.py:156(MaskGenAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:162(MaskGenAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:174(TrailerField)
        1    0.000    0.000    0.000    0.000 algos.py:180(RSASSAPSSParams)
        1    0.000    0.000    0.004    0.004 algos.py:19(<module>)
        1    0.000    0.000    0.000    0.000 algos.py:220(SignedDigestAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:272(SignedDigestAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:365(Pbkdf2Salt)
        1    0.000    0.000    0.000    0.000 algos.py:372(Pbkdf2Params)
        1    0.000    0.000    0.000    0.000 algos.py:381(KdfAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:387(KdfAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:398(DHParameters)
        1    0.000    0.000    0.000    0.000 algos.py:411(KeyExchangeAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:417(KeyExchangeAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:428(Rc2Params)
        1    0.000    0.000    0.000    0.000 algos.py:43(AlgorithmIdentifier)
        1    0.000    0.000    0.000    0.000 algos.py:435(Rc5ParamVersion)
        1    0.000    0.000    0.000    0.000 algos.py:441(Rc5Params)
        1    0.000    0.000    0.000    0.000 algos.py:450(Pbes1Params)
        1    0.000    0.000    0.000    0.000 algos.py:457(PSourceAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:463(PSourceAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:475(RSAESOAEPParams)
